,time,title,company,location,job-link,company-link
51,2 weeks ago,Project Coordinator,NielsenIQ,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/project-coordinator-at-nielseniq-3806814688?position=52&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=U2CxFCKJnocTRMXSPHyx1g%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/nielseniq?trk=public_jobs_jserp-result_job-search-card-subtitle
52,2 months ago,Art Director,Arabian Systems,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/art-director-at-arabian-systems-3810710391?position=53&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=ki90idrGcHC2UwvvogIrRQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/arabian-systems?trk=public_jobs_jserp-result_job-search-card-subtitle
53,2 weeks ago,Director of People & Culture,Four Seasons Hotels and Resorts,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/director-of-people-culture-at-four-seasons-hotels-and-resorts-3865278276?position=54&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=QPtwl6Sd5IOrrOp8hTVnQA%3D%3D&trk=public_jobs_jserp-result_search-card,https://ca.linkedin.com/company/four-seasons-hotels-and-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle
54,4 months ago,Customer Support Freelance,ArpuPlus - ARPU Telecommunications Services,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/customer-support-freelance-at-arpuplus-arpu-telecommunications-services-3763755403?position=55&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=dS%2FoO8tDGXZuzabHdaatnQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/arpuplusofficial?trk=public_jobs_jserp-result_job-search-card-subtitle
55,5 days ago,MEP Engineer (Technical Office Engineer),High Art - (El Handaseya For Architecture & Decoration),"Qesm El Nozha, Cairo, Egypt",https://eg.linkedin.com/jobs/view/mep-engineer-technical-office-engineer-at-high-art-el-handaseya-for-architecture-decoration-3880253800?position=56&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=jedxiGsUYNirvjdwrjhSag%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/high-art-el-handaseya-for-architecture-decoration?trk=public_jobs_jserp-result_job-search-card-subtitle
56,1 week ago,Structure Engineer,High Art - (El Handaseya For Architecture & Decoration),"Qesm El Nozha, Cairo, Egypt",https://eg.linkedin.com/jobs/view/structure-engineer-at-high-art-el-handaseya-for-architecture-decoration-3869505293?position=57&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=xVZ8P8ugUdtdScOIsaGuHg%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/high-art-el-handaseya-for-architecture-decoration?trk=public_jobs_jserp-result_job-search-card-subtitle
57,5 days ago,Teacher of Arabic Language,King's School The Crown,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/teacher-of-arabic-language-at-king-s-school-the-crown-3877215545?position=58&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=HhCKcNGi6uNByLuHYbfF1Q%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/king-s-school-the-crown?trk=public_jobs_jserp-result_job-search-card-subtitle
58,2 weeks ago,Consultant - Beauty - Givenchy,Chalhoub Group,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/consultant-beauty-givenchy-at-chalhoub-group-3858980107?position=59&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=eDjORxOVEoeFgciDWisGGQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/chalhoubgroup?trk=public_jobs_jserp-result_job-search-card-subtitle
59,2 weeks ago,Production Controller,Shift EV,"6th of October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/production-controller-at-shift-ev-3864620326?position=60&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=A5iMO%2FvL1hIyv3uqJsXP1Q%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/shift-ev?trk=public_jobs_jserp-result_job-search-card-subtitle
60,2 weeks ago,Presser,Marriott International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/presser-at-marriott-international-3841302725?position=1&pageNum=2&refId=FD9pkg9NVIf4XKlrH%2Fx4Xw%3D%3D&trackingId=pQ0%2B%2Bp4%2BchffIK%2FZlWYWQQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle
